Denominación;Fecha;Fuente
Correo del Orinoco;27/06/1818;[@Orinoco1818]
Universidad Central de Venezuela;24/06/1827;[@UCV1827]
Universidad de Los Andes;14/01/1832;[@Lopez2009]
Biblioteca Nacional;13/07/1833;[@himiob2008historia]
Archivo General de la Nación;24/05/1836;[@AGV1836]
Teatro Puerto Cabello;01/01/1866;[@TPtoCabello1886]
Gaceta Oficial;11/10/1872;[@Gaceta1872]
Museo de Bellas Artes y Ciencias Naturales;28/10/1875;[@MuseoNac1875]
Teatro Baralt en Maracaibo;28/07/1877;[@TBaralt1877]
Teatro Municipal de Caracas;1/01/1886;[@Tmunicipal1881]
Academia Nacional de Bellas Artes;16/09/1887;[@abarca2018academia]
La Universidad del Zulia;29/05/1891;[@Lopez2009]
Teatro Valencia;31/10/1894;[@TValencia1894]
Teatro Nacional;11/06/1905;[@TNacional905]
Protección Patrimonial, Ministerio del Interior;30/06/1917;[@pacheco2018proteccion]
Orquesta Sinfónica;24/06/1930;[@Orquesta1930]
Dirección de Cultura y Bellas Artes, Ministerio de Educación;30/06/1936;[@massiani1977consejo,35]
Radio Nacional de Venezuela;29/07/1936;[@RNV1936]
Dirección de Culutra y Bienestar Social, Ministerio del Trabajo;30/06/1940;[@massiani1977consejo,35]
Escuela Nacional de Ballet;30/06/1947;[@Ballet1947]
Televisora Nacional;22/11/1952;[@mosquera2010television,49]
Instituto Nacional de Cultura y Bellas Artes;09/03/1960;[@massiani1977consejo,35]
Venezolana de Televisión;01/08/1964;[@VTV1964]
Cinemateca Nacional;04/05/1966;[@abreu2016cincuenta,175]
Centro Nacional del Libro;21/04/1967;[@MemoriaMPPC2014,50]
Monte Ávila;08/04/1968;[@MemoriaMPPC2014,353]
Conservatorio Juan José Landaeta;30/06/1971;[@ConservJJL1971,347]
Teatro Teresa Carreño;11/06/1973;[@MemoriaMPPC2014,397]
Casa Bello;28/11/1973;[@MemoriaMPPC2014,121]
Poliedro de Caracas;26/03/1974;[@Poliedro1974]
Centro de Estudos Latinoamericanos Rómulo Gallegos;30/07/1974;[@MemoriaMPPC2014,130]
Biblioteca Ayacucho;10/09/1974;[@MemoriaMPPC2014,88]
Fundación Musical Simón Bolívar;12/02/1975;[@FundacionSB1975]
Conservatorio Simón Bolívar;30/06/1975;[@ConservaSB1975]
Consejo Nacional de Cultura;29/08/1975;[@massiani1977consejo,36]
Galería de Arte Nacional;06/04/1976;[@GAN1976]
Liberarías del Sur;30/12/1982;[@MemoriaMPPC2014,230]
Compañía Nacional de Teatro;22/05/1984;[@MemoriaMPPC2014,74]
Casa del Artista;25/03/1987;[@MemoriaMPPC2014,110]
Compañía Nacional de Música;27/07/1987;[@MemoriaMPPC2014,187]
Centro de la Diversidad Cultural;13/09/1990;[@MemoriaMPPC2014,141]
Instituto del Patrimonio Cultural;03/09/1993;[@MemoriaMPPC2014,343]
Centro Nacional Autonomo de Cinematografia;08/09/1993;[@MemoriaMPPC2014,38]
Centro Nacional de Fotografía;20/12/2001;[@MemoriaMPPC2014,161]
Ministerio de Cultura;09/02/2005;[@MemoriaMPPC2014,3]
Museos Nacionales;12/04/2005;[@MemoriaMPPC2014,258]
Instituto de las Artes de la Imagen y el Espacio ;08/07/2005;[@MemoriaMPPC2014,328]
Compañía Nacional de Danza;06/02/2006;[@MemoriaMPPC2014,179]
Fundación Distribuidora Venezolana de la Cultura;06/02/2006;[@MemoriaMPPC2014,199]
Editorial El Perro y la Rana;06/02/2006;[@MemoriaMPPC2014,211]
Fundación Villa del Cine;06/02/2006;[@VillaCine2006]
Amazonia Films;06/02/2006;[@Amazonia2006]
Red de Arte;08/05/2006;[@MemoriaMPPC2014,281]
Instituto de las Artes Escenicas y Musicales;08/07/2006;[@MemoriaMPPC2014,336]
Centro Nacional del Disco;18/12/2006;[@MemoriaMPPC2014,170]
Fundación Imprenta de la Cultura;18/12/2006;[@MemoriaMPPC2014,221]
Centro Nacional de Historia;17/10/2007;[@MemoriaMPPC2014,453]
Alba Ciudad;01/01/2008;[@Alba2008]
Universidad Nacional Experimental de las Artes;06/05/2008;[@Unearte2008]
Ministerio del Poder Popular para la Cultura;14/10/2008;[@MemoriaMPPC2014,3]
Correo del Orinoco;30/08/2009;[@Correo2009]
Complejo Editorial Alfredo Maneiro;16/05/2013;[@Ceam2013]
Movimiento Teatral César Rengifo;30/10/2013;[@CesarR2013]
Corazón Llanero;02/08/2016;[@CorazonLlaneroo2016]
Corazón Salsero;08/02/2017;[@CorazonSalsero2017]
Corazón Urbano;10/04/2017;[@CorazonUrbano]