Denominación;milestone;Date;Fuente;Página;Observación
Correo del Orinoco;C. Orinoco;27/06/1818;@Orinoco1818;;
Universidad Central de Venezuela;UCV;24/06/1827;@UCV1827;;
Universidad de Los Andes;ULA;14/01/1832;@LOPEZBOHORQUEZ2009;;
Biblioteca Nacional;Bib. Nacional;13/07/1833;@himiob2008historia;;
Archivo General de la Nación;AGN;24/05/1836;@AGV1836;;
Gaceta Oficial;Gaceta Oficial;11/10/1872;@Gaceta1872;;
Museo de Bellas Artes y Ciencias Naturales;M.de B. Artes y Cs. Nat.;28/10/1875;@MuseoNac1875;;
Teatro Municipal de Caracas;T. Mun. de Caracas;1/01/1886;@Tmunicipal1881;;
Teatro Baralt en Maracaibo;T. Baralt en Maracaibo;28/07/1877;@TBaralt1877;;
Teatro Puerto Cabello;T. Puerto Cabello;01/01/1866;@TPtoCabello1886;;
Academia Nacional de Bellas Artes;Acad. Nac. de B. Artes;16/09/1887;@abarca2018academia;;
La Universidad del Zulia;LUZ;29/05/1891;@LOPEZBOHORQUEZ2009;;
Teatro Valencia;T. Valencia;31/10/1894;@TValencia1894;;
Teatro Nacional;T. Nacional;11/06/1905;@TNacional905;;
Protección Patrimonial, Ministerio del Interior;Protección Patrimonial M.I.;30/06/1917;@pacheco2018proteccion;;Solo año
Orquesta Sinfónica;Orquesta Sinfónica;24/06/1930;@Orquesta1930;;
Radio Nacional de Venezuela;RNV;29/07/1936;@RNV1936;;
Dirección de Cultura y Bellas Artes, Ministerio de Educación;Dir.de Cultura y B. Artes M.E.;30/06/1936;@massiani1977consejo;35;Solo año
Dirección de Culutra y Bienestar Social, Ministerio del Trabajo;Dir. Cultura y Bien. Soc. M.T.;30/06/1940;@massiani1977consejo;35;Solo año
Escuela Nacional de Ballet;Esc. Nac. de Ballet;30/06/1947;@Ballet1947;;Solo año
Televisora Nacional;Televisora Nacional;22/11/1952;@mosquera2010television;49;
Instituto Nacional de Cultura y Bellas Artes;INCIBA;09/03/1960;@massiani1977consejo;35;
Cinemateca Nacional;Cinemateca;04/05/1966;@abreu2016cincuenta;175;
Monte Ávila;M. Ávila;08/04/1968;@MemoriaMPPC2014;353;
Conservatorio Juan José Landaeta;Cons.  J J. Landaeta;30/06/1971;@ConservJJL197;347;Solo año
Casa Bello;C. Bello;28/11/1973;@MemoriaMPPC2014;121;
Galería de Arte Nacional;GAN;06/04/1976;@GAN1976;;
Biblioteca Ayacucho;Bib. Ayacucho;10/09/1974;@MemoriaMPPC2014;88;
Centro de Estudos Latinoamericanos Rómulo Gallegos;Celarg;30/07/1974;@MemoriaMPPC2014;130;
Conservatorio Simón Bolívar;Cons. S. Bolívar;30/06/1975;@ConservaSB1975;;Solo año
Consejo Nacional de Cultura;Conac;29/08/1975;@massiani1977consejo;36;
Venezolana de Televisión;VTV;01/08/1964;@VTV1964;;
Teatro Teresa Carreño;TTC;11/06/1973;@MemoriaMPPC2014;397;
Fundación Musical Simón Bolívar;FMSB;12/02/1975;@FundacionSB1975;;
Liberarías del Sur;Librerías del Sur;30/12/1982;@MemoriaMPPC2014;230;
Compañía Nacional de Teatro;CNT;22/05/1984;@MemoriaMPPC2014;74;
Casa del Artista;Casa del Artista;25/03/1987;@MemoriaMPPC2014;110;
Compañía Nacional de Música;CNM;27/07/1987;@MemoriaMPPC2014;187;
Centro de la Diversidad Cultural;CDC;13/09/1990;@MemoriaMPPC2014;141;
Instituto del Patrimonio Cultural;IPC;03/09/1993;@MemoriaMPPC2014;343;
Centro Nacional Autonomo de Cinematografia;CENAC;08/09/1993;@MemoriaMPPC2014;38;
Centro Nacional de Fotografía;CENAF;20/12/2001;@MemoriaMPPC2014;161;
Centro Nacional del Libro;CENAL;21/04/1967;@MemoriaMPPC2014;50;
Museos Nacionales;Museos Nac.;12/04/2005;@MemoriaMPPC2014;258;
Red de Arte;Red de Arte;08/05/2006;@MemoriaMPPC2014;281;
Instituto de las Artes de la Imagen y el Espacio ;IARTES;08/07/2005;@MemoriaMPPC2014;328;
Instituto de las Artes Escenicas y Musicales;IAEM;08/07/2006;@MemoriaMPPC2014;336;
Ministerio del Poder Popular para la Cultura;MPPC;14/10/2008;@MemoriaMPPC2014;3;
Ministerio de Cultura;M. Cultura;09/02/2005;@MemoriaMPPC2014;3;
Fundación Imprenta de la Cultura;FIC;18/12/2006;@MemoriaMPPC2014;221;
Fundación Villa del Cine;Villa del Cine;06/02/2006;@VillaCine2006;;
Fundación Distribuidora Venezolana de la Cultura;FDVC;06/02/2006;@MemoriaMPPC2014;199;
Centro Nacional del Disco;CENDIS;18/12/2006;@MemoriaMPPC2014;170;
Compañía Nacional de Danza;CND;06/02/2006;@MemoriaMPPC2014;179;
Amazonia Films;Amazonia Films;06/02/2006;@Amazonia2006;;
Editorial El Perro y la Rana;El Perro y La Rana;06/02/2006;@MemoriaMPPC2014;211;
Centro Nacional de Historia;CNH;17/10/2007;@MemoriaMPPC2014;453;
Universidad Nacional Experimental de las Artes;UNEARTE;06/05/2008;@Unearte2008;;
Alba Ciudad;Alba Ciudad;01/01/2008;@Alba2008;;
Correo del Orinoco;C. Orinoco;30/08/2009;@Correo2009;;
Complejo Editorial Alfredo Maneiro;CEAM;16/05/2013;@Ceam2013;;
Movimiento Teatral César Rengifo;Mov. C. Rengifo;30/10/2013;@CesarR2013;;
Corazón Llanero;C. Llanero;02/08/2016;@CorazonLlaneroo2016;;
Corazón Urbano;C.Urbano;10/04/2017;@CorazonUrbano;;
Corazón Salsero;C. Salsero;08/02/2017;@CorazonSalsero2017;;
Poliedro de Caracas;Poliedro;26/03/1974;@Poliedro1974;;