month;year;milestone;Denominación;Date;Fuente;Página;Observación
06;1818;C. Orinoco;Correo del Orinoco;27/06/1818;@Orinoco1818;;
06;1827;UCV;Universidad Central de Venezuela;24/06/1827;@UCV1827;;
01;1832;ULA;Universidad de Los Andes;14/01/1832;@LOPEZBOHORQUEZ2009;;
07;1833;Bib. Nacional;Biblioteca Nacional;13/07/1833;@himiob2008historia;;
05;1836;AGN;Archivo General de la Nación;24/05/1836;@AGV1836;;
10;1872;Gaceta Oficial;Gaceta Oficial;11/10/1872;@Gaceta1872;;
10;1875;M.de B. Artes y Cs. Nat.;Museo de Bellas Artes y Ciencias Naturales;28/10/1875;@MuseoNac1875;;
01;1886;T. Mun. de Caracas;Teatro Municipal de Caracas;1/01/1886;@Tmunicipal1881;;
07;1877;T. Baralt en Maracaibo;Teatro Baralt en Maracaibo;28/07/1877;@TBaralt1877;;
01;1866;T. Puerto Cabello;Teatro Puerto Cabello;01/01/1866;@TPtoCabello1886;;
01;/887;Acad. Nac. de B. Artes;Academia Nacional de Bellas Artes;16/019/887;@abarca2018academia;;
05;1891;LUZ;La Universidad del Zulia;29/05/1891;@LOPEZBOHORQUEZ2009;;
10;1894;T. Valencia;Teatro Valencia;31/10/1894;@TValencia1894;;
06;1905;T. Nacional;Teatro Nacional;11/06/1905;@TNacional905;;
06;1917;Protección Patrimonial M.I.;Protección Patrimonial, Ministerio del Interior;30/06/1917;@pacheco2018proteccion;;Solo año
06;1930;Orquesta Sinfónica;Orquesta Sinfónica;24/06/1930;@Orquesta1930;;
07;1936;RNV;Radio Nacional de Venezuela;29/07/1936;@RNV1936;;
06;1936;Dir.de Cultura y B. Artes M.E.;Dirección de Cultura y Bellas Artes, Ministerio de Educación;30/06/1936;@massiani1977consejo;35;Solo año
06;1940;Dir. Cultura y Bien. Soc. M.T.;Dirección de Culutra y Bienestar Social, Ministerio del Trabajo;30/06/1940;@massiani1977consejo;35;Solo año
06;1947;Esc. Nac. de Ballet;Escuela Nacional de Ballet;30/06/1947;@Ballet1947;;Solo año
11;1952;Televisora Nacional;Televisora Nacional;22/11/1952;@mosquera2010television;49;
03;1060;INCIBA;Instituto Nacional de Cultura y Bellas Artes;09/03/1060;@massiani1977consejo;35;
05;1966;Cinemateca;Cinemateca Nacional;04/05/1966;@abreu2016cincuenta;175;
04;1968;M. Ávila;Monte Ávila;08/04/1968;@MemoriaMPPC2014;353;
06;1971;Cons.  J J. Landaeta;Conservatorio Juan José Landaeta;30/06/1971;@ConservJJL197;347;Solo año
11;1973;C. Bello;Casa Bello;28/11/1973;@MemoriaMPPC2014;121;
04;1976;GAN;Galería de Arte Nacional;06/04/1976;@GAN1976;;
09;1974;Bib. Ayacucho;Biblioteca Ayacucho;10/09/1974;@MemoriaMPPC2014;88;
07;1974;Celarg;Centro de Estudos Latinoamericanos Rómulo Gallegos;30/07/1974;@MemoriaMPPC2014;130;
06;1975;Cons. S. Bolívar;Conservatorio Simón Bolívar;30/06/1975;@ConservaSB1975;;Solo año
08;1975;Conac;Consejo Nacional de Cultura;29/08/1975;@massiani1977consejo;36;
08;1964;VTV;Venezolana de Televisión;01/08/1964;@VTV1964;;
06;1973;TTC;Teatro Teresa Carreño;11/06/1973;@MemoriaMPPC2014;397;
02;1975;FMSB;Fundación Musical Simón Bolívar;12/02/1975;@FundacionSB1975;;
12;1982;Librerías del Sur;Liberarías del Sur;30/12/1982;@MemoriaMPPC2014;230;
05;1984;CNT;Compañía Nacional de Teatro;22/05/1984;@MemoriaMPPC2014;74;
03;1987;Casa del Artista;Casa del Artista;25/03/1987;@MemoriaMPPC2014;110;
07;1987;CNM;Compañía Nacional de Música;27/07/1987;@MemoriaMPPC2014;187;
09;1990;CDC;Centro de la Diversidad Cultural;13/09/1990;@MemoriaMPPC2014;141;
09;1993;IPC;Instituto del Patrimonio Cultural;03/09/1993;@MemoriaMPPC2014;343;
09;1993;CENAC;Centro Nacional Autonomo de Cinematografia;08/09/1993;@MemoriaMPPC2014;38;
12;2001;CENAF;Centro Nacional de Fotografía;20/12/2001;@MemoriaMPPC2014;161;
04;1967;CENAL;Centro Nacional del Libro;21/04/1967;@MemoriaMPPC2014;50;
04;2005;Museos Nac.;Museos Nacionales;12/04/2005;@MemoriaMPPC2014;258;
05;2006;Red de Arte;Red de Arte;08/05/2006;@MemoriaMPPC2014;281;
07;2005;IARTES;Instituto de las Artes de la Imagen y el Espacio ;08/07/2005;@MemoriaMPPC2014;328;
07;2006;IAEM;Instituto de las Artes Escenicas y Musicales;08/07/2006;@MemoriaMPPC2014;336;
10;2008;MPPC;Ministerio del Poder Popular para la Cultura;14/10/2008;@MemoriaMPPC2014;3;
02;2005;M. Cultura;Ministerio de Cultura;09/02/2005;@MemoriaMPPC2014;3;
12;2006;FIC;Fundación Imprenta de la Cultura;18/12/2006;@MemoriaMPPC2014;221;
02;2006;Villa del Cine;Fundación Villa del Cine;06/02/2006;@VillaCine2006;;
02;2006;FDVC;Fundación Distribuidora Venezolana de la Cultura;06/02/2006;@MemoriaMPPC2014;199;
12;2006;CENDIS;Centro Nacional del Disco;18/12/2006;@MemoriaMPPC2014;170;
02;2006;CND;Compañía Nacional de Danza;06/02/2006;@MemoriaMPPC2014;179;
02;2006;Amazonia Films;Amazonia Films;06/02/2006;@Amazonia2006;;
02;2006;El Perro y La Rana;Editorial El Perro y la Rana;06/02/2006;@MemoriaMPPC2014;211;
10;2007;CNH;Centro Nacional de Historia;17/10/2007;@MemoriaMPPC2014;453;
05;2008;UNEARTE;Universidad Nacional Experimental de las Artes;06/05/2008;@Unearte2008;;
01;2008;Alba Ciudad;Alba Ciudad;01/01/2008;@Alba2008;;
08;2009;C. Orinoco;Correo del Orinoco;30/08/2009;@Correo2009;;
05;2013;CEAM;Complejo Editorial Alfredo Maneiro;16/05/2013;@Ceam2013;;
10;2013;Mov. C. Rengifo;Movimiento Teatral César Rengifo;30/10/2013;@CesarR2013;;
08;2016;C. Llanero;Corazón Llanero;02/08/2016;@CorazonLlaneroo2016;;
04;2017;C.Urbano;Corazón Urbano;10/04/2017;@CorazonUrbano;;
02;2017;C. Salsero;Corazón Salsero;08/02/2017;@CorazonSalsero2017;;
03;1974;Poliedro;Poliedro de Caracas;26/03/1974;@Poliedro1974;;