Nombre completo;Sigla o Abreviación;Fecha;Fuente;Página;Observ;Date;Year;Month
Correo del Orinoco;C. Orinoco;27/06/1818;@Orinoco1818;;;27/06/1818;1818;06
Universidad Central de Venezuela;UCV;24/06/1827;@UCV1827;;;24/06/1827;1827;06
Universidad de Los Andes;ULA;14/01/1832;@LOPEZBOHORQUEZ2009;;;14/01/1832;1832;01
Biblioteca Nacional;Bib. Nacional;13/07/1833;@himiob2008historia;;;13/07/1833;1833;07
Archivo General de la Nación;AGN;24/05/1836;@AGV1836;;;24/05/1836;1836;05
Gaceta Oficial;Gaceta Oficial;11/10/1872;@Gaceta1872;;;11/10/1872;1872;10
Museo de Bellas Artes y Ciencias Naturales;M.de B. Artes y Cs. Nat.;28/10/1875;@MuseoNac1875;;;28/10/1875;1875;10
Teatro Municipal de Caracas;T. Mun. de Caracas;1/01/1886;@Tmunicipal1881;;;1/01/1886;1886;01
Teatro Baralt en Maracaibo;T. Baralt en Maracaibo;28/07/1877;@TBaralt1877;;;28/07/1877;1877;07
Teatro Puerto Cabello;T. Puerto Cabello;01/01/1866;@TPtoCabello1886;;;01/01/1866;1866;01
Academia Nacional de Bellas Artes;Acad. Nac. de B. Artes;16/019/887;@abarca2018academia;;;16/019/887;/887;01
La Universidad del Zulia;LUZ;29/05/1891;@LOPEZBOHORQUEZ2009;;;29/05/1891;1891;05
Teatro Valencia;T. Valencia;31/10/1894;@TValencia1894;;;31/10/1894;1894;10
Teatro Nacional;T. Nacional;11/06/1905;@TNacional905;;;11/06/1905;1905;06
Protección Patrimonial, Ministerio del Interior;Protección Patrimonial M.I.;30/06/1917;@pacheco2018proteccion;;;30/06/1917;1917;06
Orquesta Sinfónica;Orquesta Sinfónica;24/06/1930;@Orquesta1930;;;24/06/1930;1930;06
Radio Nacional de Venezuela;RNV;29/07/1936;@RNV1936;;;29/07/1936;1936;07
Dirección de Cultura y Bellas Artes, Ministerio de Educación;Dir.de Cultura y B. Artes M.E.;30/06/1936;@massiani1977consejo;35;impreciso;30/06/1936;1936;06
Dirección de Culutra y Bienestar Social, Ministerio del Trabajo;Dir. Cultura y Bien. Soc. M.T.;30/06/1940;@massiani1977consejo;35;impreciso;30/06/1940;1940;06
Escuela Nacional de Ballet;Esc. Nac. de Ballet;30/06/1947;@Ballet1947;;Impreciso;30/06/1947;1947;06
Televisora Nacional;Televisora Nacional;22/11/1952;@mosquera2010television;49;;22/11/1952;1952;11
Instituto Nacional de Cultura y Bellas Artes;INCIBA;09/03/1060;@massiani1977consejo;35;;09/03/1060;1060;03
Cinemateca Nacional;Cinemateca;04/05/1966;@abreu2016cincuenta;175;;04/05/1966;1966;05
Monte Ávila;M. Ávila;08/04/1968;@MemoriaMPPC2014;353;;08/04/1968;1968;04
Conservatorio Juan José Landaeta;Cons.  J J. Landaeta;30/06/1971;@ConservJJL197;347;;30/06/1971;1971;06
Casa Bello;C. Bello;28/11/1973;@MemoriaMPPC2014;121;;28/11/1973;1973;11
Galería de Arte Nacional;GAN;06/04/1976;@GAN1976;;;06/04/1976;1976;04
Biblioteca Ayacucho;Bib. Ayacucho;10/09/1974;@MemoriaMPPC2014;88;;10/09/1974;1974;09
Centro de Estudos Latinoamericanos Rómulo Gallegos;Celarg;30/07/1974;@MemoriaMPPC2014;130;;30/07/1974;1974;07
Conservatorio Simón Bolívar;Cons. S. Bolívar;30/06/1975;@ConservaSB1975;Impreciso;;30/06/1975;1975;06
Consejo Nacional de Cultura;Conac;29/08/1975;@massiani1977consejo;36;;29/08/1975;1975;08
Venezolana de Televisión;VTV;01/08/1964;@VTV1964;;;01/08/1964;1964;08
Teatro Teresa Carreño;TTC;11/06/1973;@MemoriaMPPC2014;397;;11/06/1973;1973;06
Fundación Musical Simón Bolívar;FMSB;12/02/1975;@FundacionSB1975;;;12/02/1975;1975;02
Liberarías del Sur;Librerías del Sur;30/12/1982;@MemoriaMPPC2014;230;;30/12/1982;1982;12
Compañía Nacional de Teatro;CNT;22/05/1984;@MemoriaMPPC2014;74;;22/05/1984;1984;05
Casa del Artista;Casa del Artista;25/03/1987;@MemoriaMPPC2014;110;;25/03/1987;1987;03
Compañía Nacional de Música;CNM;27/07/1987;@MemoriaMPPC2014;187;;27/07/1987;1987;07
Centro de la Diversidad Cultural;CDC;13/09/1990;@MemoriaMPPC2014;141;;13/09/1990;1990;09
Instituto del Patrimonio Cultural;IPC;03/09/1993;@MemoriaMPPC2014;343;;03/09/1993;1993;09
Centro Nacional Autonomo de Cinematografia;CENAC;08/09/1993;@MemoriaMPPC2014;38;;08/09/1993;1993;09
Centro Nacional de Fotografía;CENAF;20/12/2001;@MemoriaMPPC2014;161;;20/12/2001;2001;12
Centro Nacional del Libro;CENAL;21/04/1967;@MemoriaMPPC2014;50;;21/04/1967;1967;04
Museos Nacionales;Museos Nac.;12/04/2005;@MemoriaMPPC2014;258;;12/04/2005;2005;04
Red de Arte;Red de Arte;08/05/2006;@MemoriaMPPC2014;281;;08/05/2006;2006;05
Instituto de las Artes de la Imagen y el Espacio ;IARTES;08/07/2005;@MemoriaMPPC2014;328;;08/07/2005;2005;07
Instituto de las Artes Escenicas y Musicales;IAEM;08/07/2006;@MemoriaMPPC2014;336;;08/07/2006;2006;07
Ministerio del Poder Popular para la Cultura;MPPC;14/10/2008;@MemoriaMPPC2014;3;;14/10/2008;2008;10
Ministerio de Cultura;M. Cultura;09/02/2005;@MemoriaMPPC2014;3;;09/02/2005;2005;02
Fundación Imprenta de la Cultura;FIC;18/12/2006;@MemoriaMPPC2014;221;;18/12/2006;2006;12
Fundación Villa del Cine;Villa del Cine;06/02/2006;@VillaCine2006;;;06/02/2006;2006;02
Fundación Distribuidora Venezolana de la Cultura;FDVC;06/02/2006;@MemoriaMPPC2014;199;;06/02/2006;2006;02
Centro Nacional del Disco;CENDIS;18/12/2006;@MemoriaMPPC2014;170;;18/12/2006;2006;12
Compañía Nacional de Danza;CND;06/02/2006;@MemoriaMPPC2014;179;;06/02/2006;2006;02
Amazonia Films;Amazonia Films;06/02/2006;@Amazonia2006;;;06/02/2006;2006;02
Editorial El Perro y la Rana;El Perro y La Rana;06/02/2006;@MemoriaMPPC2014;211;;06/02/2006;2006;02
Centro Nacional de Historia;CNH;17/10/2007;@MemoriaMPPC2014;453;;17/10/2007;2007;10
Universidad Nacional Experimental de las Artes;UNEARTE;06/05/2008;@Unearte2008;;;06/05/2008;2008;05
Alba Ciudad;Alba Ciudad;01/01/2008;@Alba2008;;;01/01/2008;2008;01
Correo del Orinoco;C. Orinoco;30/08/2009;@Correo2009;;;30/08/2009;2009;08
Complejo Editorial Alfredo Maneiro;CEAM;16/05/2013;@Ceam2013;;;16/05/2013;2013;05
Movimiento Teatral César Rengifo;Mov. C. Rengifo;30/10/2013;@CesarR2013;;;30/10/2013;2013;10
Corazón Llanero;C. Llanero;02/08/2016;@CorazonLlaneroo2016;;;02/08/2016;2016;08
Corazón Urbano;C.Urbano;10/04/2017;@CorazonUrbano;;;10/04/2017;2017;04
Corazón Salsero;C. Salsero;08/02/2017;@CorazonSalsero2017;;;08/02/2017;2017;02
Poliedro de Caracas;Poliedro;26/03/1974;@Poliedro1974;;;26/03/1974;1974;03